COMPLAINT ID,COMPLAINT TYPE,ADDRESS,STREET NUMBER FROM,STREET NUMBER TO,DIRECTION,STREET NAME,STREET TYPE,INSPECTOR,COMPLAINT DATE,COMPLAINT DETAIL,DATA SOURCE,RESOLUTION,RESOLVED DATE,LATITUDE,LONGITUDE,LOCATION
601392066,Noise Complaint,59 W 15TH ST,59,,W,15TH,ST,129151,2023-07-07T00:00:00Z,Loud equipment ran all night last night and is continuing today. It needs to be turned off at night so we can sleep.,DEPT. OF PUBLIC HEALTH,Resolved,2023-07-10T00:00:00Z,41.8618109461,-87.62961410557,POINT (-87.62961410557 41.8618109461)
601314423,Noise Complaint,1337 W MORSE AVE,1337,,W,MORSE,AVE,417325,2023-03-07T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-03-07T00:00:00Z,42.00781354374,-87.66515829204,POINT (-87.665158292039 42.007813543743)
601457199,Air Pollution Work Order,2055 W PERSHING RD,2055,,W,PERSHING,RD,84397,2023-10-19T00:00:00Z,Caller reports that there is a strong chemical smell coming from this company in the early morning hours. Caller was not sure if any burning takes place there but she is sure of the chemical smells coming from that plant.,DEPT. OF PUBLIC HEALTH,Resolved,2023-10-19T00:00:00Z,41.82297276573,-87.67702220738,POINT (-87.677022207376 41.822972765727)
601374555,Air Pollution Work Order,2015 S PEORIA ST,2015,,S,PEORIA,ST,10937,2023-06-09T00:00:00Z,PACE CONSTRUCTION. USING OPEN AIR STOVE TO MIX TAR FOR ROOF REAPIR,DEPT. OF PUBLIC HEALTH,Complaint Valid,2023-06-12T00:00:00Z,41.85484214279,-87.64804964196,POINT (-87.648049641959 41.854842142791)
601415598,Illegal Dumping Work Order,2343 N MENARD AVE,2343,,N,MENARD,AVE,8386,2023-08-14T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-08-16T00:00:00Z,41.92336409794,-87.77068757599,POINT (-87.770687575989 41.923364097935)
601469893,Air Pollution Work Order,4533 W MONROE ST,4533,,W,MONROE,ST,3308,2023-11-13T00:00:00Z,&nbsp;Trucks illegally running all day creating diesel engine emissions all day in a residential neighborhood,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-11-14T00:00:00Z,41.87949000433,-87.73926922659,POINT (-87.739269226589 41.879490004334)
601473781,Vehicle Idling Work Order,3307 W IRVING PARK RD,3307,,W,IRVING PARK,RD,417337,2023-11-22T00:00:00Z,Semi Truck idling outside of caller's bedroom window,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-11-22T00:00:00Z,41.9537775048,-87.71075726741,POINT (-87.710757267414 41.953777504798)
601429890,Air Pollution Work Order,2048 W 70TH ST,2048,,W,70TH,ST,10937,2023-09-06T00:00:00Z,: For more info please contact concerned citizen Clifton Thurman at 708-954-0442.&nbsp;,DEPT. OF PUBLIC HEALTH,Complaint Valid,2023-09-07T00:00:00Z,41.76671241971,-87.67551728145,POINT (-87.675517281451 41.766712419712)
601379652,Air Pollution Work Order,10426 S TORRENCE AVE,10426,,S,TORRENCE,AVE,13776,2023-06-18T00:00:00Z,: Per Caller- Burning wood smell.,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-06-20T00:00:00Z,41.70557470571,-87.55978724711,POINT (-87.55978724711 41.705574705706)
601443499,Illegal Dumping Work Order,1200 W CERMAK RD,1200,,W,CERMAK,RD,379542,2023-09-27T00:00:00Z,Behind 1200 W Cermak - Discarded tires and pouring auto fluids into street and lot,DEPT. OF PUBLIC HEALTH,Resolved,2023-09-28T00:00:00Z,41.85260262563,-87.6563271856,POINT (-87.656327185598 41.852602625629)
601375386,Noise Complaint,1732 N CLARK ST,1732,,N,CLARK,ST,417325,2023-06-12T00:00:00Z,: The noise is coming from exhaust fans in the base of the garage backing up apartments on Wells. The management has not been accommodating to residents and it is causing some severe noise disturbances during the day and in the evening when residents are trying to rest. We respectfully request an inspection and for the exhaust fans modified to lower the sound. The property Manager on-site is Kate Sarna and her number is 312-787-3335. Assistant Property Manager is Wendy Lyman and her number is the same.&nbsp;,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-06-13T00:00:00Z,41.91391201301,-87.63347071478,POINT (-87.633470714785 41.913912013008)
601397349,Construction and Demolition,5521 N WAYNE AVE,5521,,N,WAYNE,AVE,425726,2023-07-17T00:00:00Z,The construction site is throwing debris off the balcony and it is creating piles and plumes of dust. They are leaving debris in the yard and neighbors are not happy.&nbsp;,DEPT. OF PUBLIC HEALTH,Resolved,2023-07-19T00:00:00Z,41.98240131921,-87.66357635279,POINT (-87.663576352785 41.982401319212)
601415524,Vehicle Idling Work Order,670 W DIVERSEY PKWY,670,,W,DIVERSEY,PKWY,3308,2023-08-15T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-08-14T00:00:00Z,41.9328838647,-87.64627175169,POINT (-87.646271751687 41.932883864695)
601399718,Noise Complaint,5254 N CLARK ST,5254,,N,CLARK,ST,129151,2023-07-21T00:00:00Z,This has been reoccurring and noise from machines are disruptive at a level where one is unable to talk.,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-07-21T00:00:00Z,41.97785951852,-87.66850101315,POINT (-87.668501013152 41.97785951852)
601351430,Noise Complaint,2242 W WOLFRAM ST,2242,,W,WOLFRAM,ST,417325,2023-05-06T00:00:00Z,: This air conditioner nosie is coming from a neighbor's home.&nbsp;,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-05-08T00:00:00Z,41.9330980376,-87.6847047997,POINT (-87.684704799699 41.933098037597)
601440760,Noise Complaint,4652 N SHERIDAN RD,4652,,N,SHERIDAN,RD,417325,2023-09-25T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-09-26T00:00:00Z,41.96703976288,-87.65494521476,POINT (-87.65494521476 41.967039762881)
601403863,Noise Complaint,111 E CHESTNUT ST,111,,E,CHESTNUT,ST,417325,2023-07-26T00:00:00Z,I am the executive director of a senior living community (The Clare). 111 East Chestnut garage area has noise levels in their chiller and air cooling system that appear to be illegal. Sounds at night impacting our seniors living at The clare sleep quality,DEPT. OF PUBLIC HEALTH,Resolved,2023-07-27T00:00:00Z,41.89826161909,-87.62516469194,POINT (-87.62516469194 41.898261619089)
601403861,Construction and Demolition,1400 N WESTERN AVE,1400,,N,WESTERN,AVE,417337,2023-07-26T00:00:00Z,"&nbsp;Construction company cutting concrete without water suppression. Near bus stops, people walking through concrete dust",DEPT. OF PUBLIC HEALTH,Resolved,2023-07-27T00:00:00Z,41.90675568944,-87.68727270197,POINT (-87.687272701968 41.906755689442)
601354557,Air Pollution Work Order,2435 N PARKSIDE AVE,2435,,N,PARKSIDE,AVE,417337,2023-05-11T00:00:00Z,There is a burning smell every night at about 7:30. It gets so bad we can't keep windows open. Is the city burning something?,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-05-12T00:00:00Z,41.92501887515,-87.76709693962,POINT (-87.767096939616 41.925018875155)
601335572,Noise Complaint,400 W ADAMS ST,400,,W,ADAMS,ST,129151,2023-04-12T00:00:00Z,NOISE IS COMING FROM THE OUT SIDE OF UNION STATION,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-04-14T00:00:00Z,41.87944420392,-87.63814232504,POINT (-87.638142325039 41.879444203925)
601324841,Water Pollution,3460 W FOSTER AVE,3460,,W,FOSTER,AVE,8386,2023-03-24T00:00:00Z,"The north branch river, directly under the pedestrian bridge at the start of the North Branch Trail. shopping cart&nbsp;",DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-03-27T00:00:00Z,41.97577496278,-87.71593008293,POINT (-87.715930082934 41.975774962779)
601390614,Construction and Demolition,1340 W MADISON ST,1340,,W,MADISON,ST,3308,2023-07-05T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-07-06T00:00:00Z,41.8816593852,-87.66123088986,POINT (-87.661230889856 41.8816593852)
601480499,Air Pollution Work Order,2451 S ASHLAND AVE,2451,,S,ASHLAND,AVE,129151,2023-12-08T00:00:00Z,: SHREDDER FLUFF,DEPT. OF PUBLIC HEALTH,Resolved,2023-12-11T00:00:00Z,41.84706933865,-87.66578169249,POINT (-87.665781692487 41.847069338651)
601325376,Illegal Dumping Work Order,10125 S GREEN ST,10125,,S,GREEN,ST,13776,2023-03-27T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-03-31T00:00:00Z,41.70977575404,-87.64396626898,POINT (-87.643966268976 41.709775754041)
601351434,Noise Complaint,1641 N ORCHARD ST,1641,,N,ORCHARD,ST,129151,2023-05-05T00:00:00Z,"when temp is warm outside, the noise from air conditioner is occurring",DEPT. OF PUBLIC HEALTH,Resolved,2023-05-08T00:00:00Z,41.91219347732,-87.64574463251,POINT (-87.645744632514 41.912193477322)
601297623,Air Pollution Work Order,2837 N HALSTED ST,2837,,N,HALSTED,ST,3308,2023-01-20T00:00:00Z,they spill paint on the side walk and they illegally haul trash,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-01-23T00:00:00Z,41.93379891364,-87.64890278226,POINT (-87.648902782263 41.933798913644)
601469895,Construction and Demolition,5127 N MASON AVE,5127,,N,MASON,AVE,84397,2023-11-13T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Resolved,2023-11-14T00:00:00Z,41.97470953211,-87.7768348922,POINT (-87.776834892203 41.974709532111)
601371504,Air Pollution Work Order,4322 N MOZART ST,4322,,N,MOZART,ST,417337,2023-06-06T00:00:00Z,"spoke with you this morning about a problem with neighbor who has hired a tuck-pointer who is grinding molar joints without any dust collection equipment. There is also no required city permits posted. The neighbor's property, a 3-flat apartment building at 4322 N. Mozart St. The owner's name is Nettie Sabin",DEPT. OF PUBLIC HEALTH,Resolved,2023-06-07T00:00:00Z,41.9601204943,-87.69979945782,POINT (-87.699799457824 41.960120494296)
601471005,Construction and Demolition,7745 S SAGINAW AVE,7745,,S,SAGINAW,AVE,13776,2023-11-15T00:00:00Z,Construction debris being tossed in backyard causing danger for children living next door and creating a lead exposure problem!&nbsp;,DEPT. OF PUBLIC HEALTH,Refer to Code Enforcement,2023-11-16T00:00:00Z,41.75411347056,-87.55981265725,POINT (-87.559812657251 41.754113470557)
601348023,Noise Complaint,632 E 88TH ST,632,,E,88TH,ST,129151,2023-05-03T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Resolved,2023-05-03T00:00:00Z,41.73488257955,-87.60830515426,POINT (-87.60830515426 41.734882579549)
601432435,Air Pollution Work Order,2022 W 110TH ST,2022,,W,110TH,ST,13776,2023-09-09T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-09-11T00:00:00Z,41.69451161561,-87.67250812457,POINT (-87.672508124568 41.694511615613)
601338618,Air Pollution Work Order,3245 N WILTON AVE,3245,,N,WILTON,AVE,3308,2023-04-18T00:00:00Z,We have reached out to ask for them to start using the water sprayer. The dust is blowing everywhere today on 4/18,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-04-19T00:00:00Z,41.94127125742,-87.65278235872,POINT (-87.652782358722 41.941271257421)
601468427,Noise Complaint,1676 W BRYN MAWR AVE,1676,,W,BRYN MAWR,AVE,417337,2023-11-08T00:00:00Z,: Throwing large wooden chunks from 2nd and third floors into back of truck bed for the past week. Obvious violations. Clearly non professionals. Absolutely unacceptable,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-11-09T00:00:00Z,41.98353603975,-87.67289817361,POINT (-87.672898173612 41.983536039753)
601342136,Air Pollution Work Order,2715 N CICERO AVE,2715,,N,CICERO,AVE,417337,2023-04-24T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-04-25T00:00:00Z,41.93012656883,-87.74638853895,POINT (-87.746388538949 41.930126568826)
601464865,Air Pollution Work Order,1226 W 73RD PL,1226,,W,73RD,PL,249349,2023-11-02T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-11-03T00:00:00Z,41.76060160774,-87.65510559019,POINT (-87.655105590189 41.760601607741)
601340599,Air Pollution Work Order,11948 S UNION AVE,11948,,S,UNION,AVE,13776,2023-04-20T00:00:00Z,It is not a business it is a residential place. The side of the building is full with trash and mold. Needs to be removed and clean out.,DEPT. OF PUBLIC HEALTH,Alleged violation unfounded,2023-04-21T00:00:00Z,41.67639153401,-87.63960237291,POINT (-87.639602372914 41.676391534014)
601325372,Noise Complaint,3402 N KEDZIE AVE,3402,,N,KEDZIE,AVE,417325,2023-03-27T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Resolved,2023-03-28T00:00:00Z,41.94313237732,-87.70787785563,POINT (-87.707877855632 41.943132377318)
601336718,Air Pollution Work Order,922 N KEYSTONE AVE,922,,N,KEYSTONE,AVE,249349,2023-04-15T00:00:00Z,: Homes and vehicles are covered with a white powdered substance in the overnight hours of 4/11-4/15 2023 . Where is this pollution coming from??,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-04-17T00:00:00Z,41.8978926762,-87.72753419282,POINT (-87.727534192823 41.897892676198)
601457022,Construction and Demolition,901 N HALSTED ST,901,,N,HALSTED,ST,379542,2023-10-19T00:00:00Z,CALLER IS REPORTING THE DUMPING OF MATERIALS FROM BURIED STORAGE TANK INTOTHE WATER AT A CONSTRUCTION SITE.,DEPT. OF PUBLIC HEALTH,Resolved,2023-10-20T00:00:00Z,41.89905843749,-87.64773049523,POINT (-87.647730495233 41.899058437491)
601300953,Noise Complaint,6613 N OCONTO AVE,6613,,N,OCONTO,AVE,129151,2023-01-31T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Resolved,2023-02-01T00:00:00Z,42.0013031005,-87.80782281929,POINT (-87.80782281929 42.001303100504)
601339627,Air Pollution Work Order,931 N OGDEN AVE,931,,N,OGDEN,AVE,3308,2023-04-19T00:00:00Z,Concrete dust is covering the surrounding areas up Ogden and onto Chicago and Milwaukee avenues.&nbsp;,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-04-20T00:00:00Z,41.89921642769,-87.6515756899,POINT (-87.651575689902 41.899216427685)
601369042,Construction and Demolition,4342 S SPAULDING AVE,4342,,S,SPAULDING,AVE,84397,2023-06-02T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Resolved,2023-06-05T00:00:00Z,41.81412359945,-87.70680748084,POINT (-87.706807480841 41.814123599453)
601292866,Noise Complaint,3620 W WRIGHTWOOD AVE,3620,,W,WRIGHTWOOD,AVE,417325,2023-01-07T00:00:00Z,"The noise is not constant, but comes in and out as the machine turns itself on and off again",DEPT. OF PUBLIC HEALTH,Resolved,2023-01-09T00:00:00Z,41.92835330394,-87.71794005329,POINT (-87.717940053287 41.928353303936)
601374566,Air Pollution Work Order,368 E 117TH ST,368,,E,117TH,ST,13776,2023-06-09T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Alleged violation unfounded,2023-06-12T00:00:00Z,41.6815100549,-87.61397213473,POINT (-87.613972134732 41.681510054899)
601418814,Noise Complaint,1521 S WABASH AVE,1521,,S,WABASH,AVE,129151,2023-08-21T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Resolved,2023-08-21T00:00:00Z,41.86132451284,-87.62554225943,POINT (-87.625542259426 41.86132451284)
601381467,Vehicle Idling Work Order,141 S MASON AVE,141,,S,MASON,AVE,84397,2023-06-21T00:00:00Z,"SEMI TRUCK BEEN PARKED ON BLOCK FOR PAST 4 DAYS, REPEATEDLY TURNING ON, IDLING AND SHUTTING OFF THEN COMING BACK ON",DEPT. OF PUBLIC HEALTH,Resolved,2023-06-21T00:00:00Z,41.87781379154,-87.77279544357,POINT (-87.77279544357 41.877813791536)
601295753,Air Pollution Work Order,6337 S RACINE AVE,6337,,S,RACINE,AVE,10937,2023-01-13T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-01-17T00:00:00Z,41.77850539387,-87.65432735972,POINT (-87.654327359716 41.778505393867)
601417880,Air Pollution Work Order,718 W 50TH ST,718,,W,50TH,ST,249349,2023-08-17T00:00:00Z,Lot at the end of the alley,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-08-18T00:00:00Z,41.80354180496,-87.64378763491,POINT (-87.643787634915 41.80354180496)
601304562,Illegal Dumping Work Order,819 E 89TH ST,819,,E,89TH,ST,13776,2023-02-09T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-02-09T00:00:00Z,41.73290077705,-87.60388704232,POINT (-87.603887042316 41.732900777055)
601441380,Noise Complaint,2200 N CLYBOURN AVE,2200,,N,CLYBOURN,AVE,129151,2023-09-22T00:00:00Z,We have spoken to the owner multiple times about there exhaust vent system that goes over our property. The system is violently shaking and producing noise to a level that is unboreable we run a Air B&amp;B and have lost business due to there refusal,DEPT. OF PUBLIC HEALTH,Resolved,2023-09-25T00:00:00Z,41.92158137321,-87.66456512928,POINT (-87.664565129283 41.921581373213)
601374570,Noise Complaint,4747 S DR MARTIN LUTHER KING JR DR,4747,,S,DR MARTIN LUTHER KING JR,DR,417325,2023-06-10T00:00:00Z,ON THE EAST SIDE OF THE BUILDING&nbsp;,DEPT. OF PUBLIC HEALTH,Complaint Valid,2023-06-16T00:00:00Z,41.80799556913,-87.61640486518,POINT (-87.616404865179 41.80799556913)
601393660,Noise Complaint,5600 N BROADWAY,5600,,N,BROADWAY,,417325,2023-07-12T00:00:00Z,There is a machine that announces every 15 minutes that the lot is monitored. It can be heard throughout the neighborhood all day. Other neighbors have also complained. It can be heard from 7am until 10pm at night and has been going on over a month.&nbsp;,DEPT. OF PUBLIC HEALTH,Resolved,2023-07-12T00:00:00Z,41.98371191042,-87.66021841056,POINT (-87.660218410558 41.983711910418)
601483647,Illegal Dumping Work Order,11233 S CHURCH ST,11233,,S,CHURCH,ST,13776,2023-12-19T00:00:00Z,: Pipe from house ejecting liquid into alley.&nbsp;,DEPT. OF PUBLIC HEALTH,Refer to Plumbing,2023-12-19T00:00:00Z,41.68951908307,-87.66634157873,POINT (-87.666341578733 41.689519083072)
601341574,Noise Complaint,2941 W MONTROSE AVE,2941,,W,MONTROSE,AVE,129151,2023-04-23T00:00:00Z,One of the units on roof (not sure what type) has been excessively loud the last few months to where it wakes you up. Day and night. It is a new change. It hadn't occurred in past. Maybe the unit needs to be serviced?,DEPT. OF PUBLIC HEALTH,Resolved,2023-04-24T00:00:00Z,41.96111442632,-87.70258693865,POINT (-87.702586938646 41.961114426324)
601407217,Noise Complaint,6479 N AVONDALE AVE,6479,,N,AVONDALE,AVE,129151,2023-08-01T00:00:00Z,Janler Corp,DEPT. OF PUBLIC HEALTH,Resolved,2023-08-02T00:00:00Z,41.99855168488,-87.8126771166,POINT (-87.8126771166 41.998551684879)
601485705,Noise Complaint,209 E OHIO ST,209,,E,OHIO,ST,437489,2023-12-29T00:00:00Z,This noise is a high pitched screeching sound that has been going NONSTOP since the weather started getting colder. It is becoming unbearable.&nbsp;209 E. Ohio condominiums,DEPT. OF PUBLIC HEALTH,Resolved,2024-01-02T00:00:00Z,41.89245644738,-87.62226362587,POINT (-87.622263625866 41.89245644738)
601399709,Air Pollution Work Order,5430 W MONTROSE AVE,5430,,W,MONTROSE,AVE,249349,2023-07-20T00:00:00Z,"Theirs happens all the time and I’m tired of having to breathe this in, they clearly lack proper/legal filtration",DEPT. OF PUBLIC HEALTH,Complaint Valid,2023-07-21T00:00:00Z,41.96063639994,-87.76358753289,POINT (-87.763587532895 41.96063639994)
601308298,Air Pollution Work Order,6300 N CALIFORNIA AVE,6300,,N,CALIFORNIA,AVE,3308,2023-02-21T00:00:00Z,THE CALLER STATED THAT A CONSTRUCTION SITE&nbsp; IS RELEASING UNKNOWN&nbsp;&nbsp;MATERIALS AND CHEMICALS INTO THE ATMOSPHERE THE AMOUNT OF MATERIAL THAT IS RELEASING IS CURRENTLY UNKNOWN TO THE CALLER.,DEPT. OF PUBLIC HEALTH,Complaint Valid,2023-02-21T00:00:00Z,41.99585587536,-87.69972746242,POINT (-87.699727462423 41.995855875363)
601462202,Air Pollution Work Order,13733 S AVENUE O,13733,,S,AVENUE O,,13776,2023-10-30T00:00:00Z,: This scrap metal business. The fence is still unsecure on the north end of the property they constantly burn metal creating smoke affect and always dust which carries over onto the houses a block away to the north of Azcon property.&nbsp;,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-10-30T00:00:00Z,41.64552840531,-87.53988783071,POINT (-87.539887830708 41.645528405312)
601479824,Vehicle Idling Work Order,4551 W ADAMS ST,4551,,W,ADAMS,ST,249349,2023-12-06T00:00:00Z,Constantly running diesel fuel engines and polluting the air in the immediate area,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-12-06T00:00:00Z,41.87769366678,-87.7399076647,POINT (-87.739907664704 41.877693666776)
601442044,Asbestos Work Order,7447 S EBERHART AVE,7447,,S,EBERHART,AVE,379542,2023-09-22T00:00:00Z,CALLER STATES ASBESTOS GOES FROM FRONT DOOR TO KITCHEN PANTRY,DEPT. OF PUBLIC HEALTH,Resolved,2023-09-26T00:00:00Z,41.75888544334,-87.61253866047,POINT (-87.612538660475 41.758885443342)
601424247,Air Pollution Work Order,2701 E 100TH ST,2701,,E,100TH,ST,10937,2023-08-28T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Complaint Valid,2023-08-29T00:00:00Z,41.71324291275,-87.55803846898,POINT (-87.558038468978 41.713242912752)
